0, 3, 97871, 0
1, 0, 97871, 0
0, 3, 97871, 0
1, 0, 97871, 0
0, 3, 97871, 0
1, 0, 97871, 0
0, 3, 97871, 0
1, 0, 97871, 0
0, 3, 97871, 0
1, 0, 97871, 0
0, 3, 97871, 0
1, 0, 97871, 0
0, 3, 97871, 0
1, 0, 97871, 0
0, 3, 97871, 0
1, 0, 97871, 0
0, 3, 97871, 0
1, 0, 97871, 0
0, 3, 97871, 0
1, 0, 97871, 0
0, 3, 97871, 0
1, 0, 97871, 0
0, 3, 97871, 0
1, 0, 97871, 0
0, 2, 97871, 0
1, 0, 97871, 0
0, 2, 97871, 0
1, 0, 97871, 0
0, 2, 97871, 0
1, 0, 97871, 0
0, 3, 97871, 0
1, 1, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 5, 97871, 0
1, 3, 97871, 0
0, 4, 97871, 0
1, 3, 97871, 0
0, 4, 97871, 0
1, 3, 97871, 0
0, 4, 97871, 0
1, 3, 97871, 0
0, 4, 97871, 0
1, 3, 97871, 0
0, 45, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 12
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 3, 97871, 0
0, 3699, 97871, 0
1, 733, 97871, 2
0, 3699, 97871, 0
1, 1251, 97871, 0
0, 3699, 97871, 0
1, 1251, 97871, 0
0, 3699, 97871, 0
1, 3867, 97871, 2
0, 3699, 97871, 0
1, 3865, 97871, 0
0, 3699, 97871, 0
1, 3865, 97871, 0
0, 3699, 97871, 0
1, 3865, 97871, 0
0, 3699, 97871, 0
1, 3865, 97871, 0
0, 3699, 97871, 0
1, 3865, 97871, 0
0, 3699, 97871, 0
1, 3865, 97871, 0
0, 3699, 97871, 0
1, 3865, 97871, 0
0, 3699, 97871, 0
1, 3865, 97871, 0
0, 3699, 97871, 0
1, 3865, 97871, 0
0, 3699, 97871, 0
1, 5909, 97871, 66
0, 3699, 97871, 0
1, 7097, 97871, 0
0, 3699, 97871, 0
1, 4953, 97871, 0
0, 3699, 97871, 0
1, 35601, 97871, 0
0, 3699, 97871, 0
1, 77053, 97871, 4
0, 3699, 97871, 0
1, 77103, 97871, 8
0, 3699, 97871, 0
1, 77173, 97871, 7
0, 3699, 97871, 0
1, 77221, 97871, 5
0, 3699, 97871, 0
1, 77243, 97871, 5
0, 3699, 97871, 0
1, 77437, 97871, 11
0, 3699, 97871, 0
1, 77401, 97871, 9
0, 3699, 97871, 0
1, 77397, 97871, 8
0, 3699, 97871, 0
1, 77395, 97871, 2
0, 3699, 97871, 0
1, 79177, 97871, 0
0, 3699, 97871, 0
1, 79177, 97871, 0
0, 3699, 97871, 0
1, 79177, 97871, 0
0, 3699, 97871, 0
1, 79177, 97871, 0
0, 3699, 97871, 15
1, 79177, 97871, 0
0, 3699, 97871, 0
1, 79177, 97871, 0
0, 3699, 97871, 0
1, 79177, 97871, 0
0, 3699, 97871, 0
1, 79177, 97871, 0
0, 3699, 97871, 0
1, 79177, 97871, 0
0, 3699, 97871, 0
1, 79738, 97871, 0
0, 3699, 97871, 0
1, 79738, 97871, 97
0, 3699, 97871, 0
1, 79738, 97871, 99
0, 3699, 97871, 0
1, 79738, 97871, 99
0, 3699, 97871, 0
1, 79738, 97871, 93
0, 3897, 97871, 2
1, 79738, 97871, 0
0, 3897, 97871, 0
1, 79740, 97871, 75
0, 3897, 97871, 0
1, 79740, 97871, 76
0, 3897, 97871, 0
1, 79740, 97871, 91
0, 3897, 97871, 0
1, 79740, 97871, 97
0, 3897, 97871, 0
1, 79742, 97871, 99
0, 3897, 97871, 0
1, 79742, 97871, 99
0, 3897, 97871, 0
1, 79742, 97871, 49
0, 21541, 97871, 0
1, 79742, 97871, 0
0, 38523, 97871, 97
1, 79742, 97871, 0
0, 38523, 97871, 97
1, 79742, 97871, 0
0, 38523, 97871, 98
1, 79742, 97871, 0
0, 38523, 97871, 98
1, 79742, 97871, 0
0, 49833, 97871, 97
1, 79742, 97871, 0
0, 73563, 97871, 97
1, 79742, 97871, 0
0, 73563, 97871, 99
1, 79742, 97871, 0
0, 73563, 97871, 97
1, 79742, 97871, 0
0, 73563, 97871, 99
1, 79742, 97871, 0
0, 73563, 97871, 99
1, 79742, 97871, 0
0, 73563, 97871, 98
1, 79742, 97871, 0
0, 73565, 97871, 98
1, 79742, 97871, 0
0, 73565, 97871, 97
1, 79742, 97871, 0
0, 73565, 97871, 97
1, 79742, 97871, 0
0, 73565, 97871, 99
1, 79742, 97871, 0
0, 73565, 97871, 99
1, 79742, 97871, 0
0, 73565, 97871, 97
1, 79742, 97871, 0
0, 16729, 97871, 0
1, 79742, 97871, 0
0, 13941, 97871, 5
1, 79742, 97871, 0
0, 14398, 97871, 6
1, 79742, 97871, 0
0, 14398, 97871, 0
1, 79742, 97871, 0
0, 14398, 97871, 0
1, 79742, 97871, 0
0, 14398, 97871, 0
1, 79742, 97871, 0
0, 13604, 97871, 0
1, 79742, 97871, 8
0, 13604, 97871, 0
1, 79742, 97871, 99
0, 13604, 97871, 0
1, 79742, 97871, 99
0, 13604, 97871, 0
1, 79742, 97871, 99
0, 13604, 97871, 0
1, 79742, 97871, 99
0, 13604, 97871, 14
1, 79742, 97871, 0
0, 13604, 97871, 0
1, 79742, 97871, 76
0, 13604, 97871, 0
1, 79742, 97871, 83
0, 13604, 97871, 0
1, 79742, 97871, 92
0, 13603, 97871, 0
1, 79742, 97871, 99
0, 13603, 97871, 0
1, 79742, 97871, 99
0, 13603, 97871, 0
1, 79742, 97871, 99
0, 13603, 97871, 0
1, 79742, 97871, 99
0, 13603, 97871, 0
1, 79742, 97871, 0
0, 42027, 97871, 52
1, 79742, 97871, 0
0, 42027, 97871, 98
1, 79742, 97871, 0
0, 42027, 97871, 99
1, 79742, 97871, 0
0, 42027, 97871, 99
1, 79742, 97871, 0
0, 42027, 97871, 97
1, 79742, 97871, 0
0, 42027, 97871, 98
1, 79742, 97871, 0
0, 42027, 97871, 98
1, 79742, 97871, 0
0, 42027, 97871, 99
1, 79742, 97871, 0
0, 42027, 97871, 98
1, 79742, 97871, 0
0, 42027, 97871, 98
1, 79742, 97871, 0
0, 42027, 97871, 97
1, 79742, 97871, 0
0, 42027, 97871, 98
1, 79742, 97871, 0
0, 42027, 97871, 99
1, 79742, 97871, 0
0, 42027, 97871, 97
1, 79742, 97871, 0
0, 42027, 97871, 98
1, 79742, 97871, 0
0, 42027, 97871, 98
1, 79742, 97871, 0
0, 42027, 97871, 99
1, 79742, 97871, 0
0, 42027, 97871, 99
1, 79742, 97871, 0
0, 42027, 97871, 97
1, 79742, 97871, 0
0, 42027, 97871, 21
1, 79742, 97871, 0
0, 14653, 97871, 0
1, 79742, 97871, 0
0, 15175, 97871, 5
1, 79742, 97871, 0
0, 15175, 97871, 0
1, 79742, 97871, 0
0, 15175, 97871, 0
1, 79742, 97871, 0
0, 15175, 97871, 0
1, 79742, 97871, 0
0, 14507, 97871, 0
1, 79742, 97871, 0
0, 14507, 97871, 0
1, 79742, 97871, 99
0, 14507, 97871, 0
1, 79742, 97871, 99
0, 14507, 97871, 0
1, 79742, 97871, 99
0, 14507, 97871, 0
1, 79742, 97871, 99
0, 14507, 97871, 13
1, 79742, 97871, 0
0, 14507, 97871, 0
1, 566, 97871, 1
0, 14507, 97871, 0
1, 566, 97871, 0
0, 14507, 97871, 0
1, 566, 97871, 0
0, 3, 97871, 0
1, 4, 97871, 0
